M,N,C,K,GFlops,Efficiency
960,1024,1,1024,42945.09,46.10660120176451
1920,2048,1,2048,47237.59,50.71510442433487
3840,4096,1,4096,45823.82,49.19725617716579
7680,8192,1,8192,48003.21,51.53708747320251
