M,N,C,K,GFlops,Efficiency
960,1024,1,1024,40459.52,43.438049692172385
1920,2048,1,2048,46538.74,49.96480681755717
3840,4096,1,4096,43541.92,46.74736834872471
7680,8192,1,8192,46017.59,49.4052910448274
